dq_null_profile_results.column_name,dq_null_profile_results.null_count,dq_null_profile_results.total_rows,dq_null_profile_results.null_pct
id,0,2260668,0.0
loan_status,0,2260668,0.0
loan_amnt,0,2260668,0.0
term,0,2260668,0.0
int_rate,0,2260668,0.0
installment,0,2260668,0.0
grade,0,2260668,0.0
sub_grade,0,2260668,0.0
emp_length,146907,2260668,6.4984
home_ownership,0,2260668,0.0
annual_inc,4,2260668,0.0002
verification_status,0,2260668,0.0
purpose,0,2260668,0.0
dti,1711,2260668,0.0757
delinq_2yrs,29,2260668,0.0013
earliest_cr_line,29,2260668,0.0013
inq_last_6mths,30,2260668,0.0013
open_acc,29,2260668,0.0013
pub_rec,29,2260668,0.0013
revol_bal,0,2260668,0.0
revol_util,1802,2260668,0.0797
total_acc,29,2260668,0.0013
application_type,0,2260668,0.0
fico_range_low,0,2260668,0.0
fico_range_high,0,2260668,0.0
issue_d,0,2260668,0.0
