dq_numeric_summary_results.feature,dq_numeric_summary_results.non_null_count,dq_numeric_summary_results.null_count,dq_numeric_summary_results.min_value,dq_numeric_summary_results.p25,dq_numeric_summary_results.median,dq_numeric_summary_results.p75,dq_numeric_summary_results.p95,dq_numeric_summary_results.max_value,dq_numeric_summary_results.avg_value,dq_numeric_summary_results.stddev_value
loan_amnt,2260668,0,500.0,8000.0,12900.0,20000.0,35000.0,40000.0,15046.931227849467,9190.243455593309
term,2260668,0,36.0,36.0,36.0,60.0,60.0,60.0,42.91031854301472,10.867158904995323
int_rate,2260668,0,5.31,9.49,12.62,15.986934031413613,22.14858823529412,30.99,13.092829115142587,4.832137295819595
installment,2260668,0,4.93,251.5904447504207,377.90403494434145,593.2434990333002,984.3926625639156,1719.83,445.80682288157357,267.17347551670156
annual_inc,2260664,4,0.0,45993.29458595017,64992.737787500475,92990.79565156106,159996.58209678004,110000000.0,77992.42868706775,112696.17464888575
dti,2258957,1711,-1.0,11.889751712328767,17.831507936507936,24.486395652173915,33.87625229909492,999.0,18.824196436674452,14.183325403724506
delinq_2yrs,2260639,29,0.0,0.0,0.0,0.0,2.0,58.0,0.3068791611575311,0.8672301410859358
inq_last_6mths,2260638,30,0.0,0.0,0.0,1.0,2.0,33.0,0.5768353889477218,0.8859629623966568
open_acc,2260639,29,0.0,8.0,11.0,14.0,22.0,101.0,11.612402068618652,5.64086009076983
pub_rec,2260639,29,0.0,0.0,0.0,0.0,1.0,86.0,0.1975277786501958,0.5705148881215691
revol_bal,2260668,0,0.0,5932.9390030433005,11310.36765100957,20227.39442662167,45145.654229405794,2904836.0,16658.458077877865,22948.299952231213
revol_util,2258866,1802,0.0,31.5,50.3,69.4,91.0,892.3,50.337696246700666,24.71306785065162
total_acc,2260639,29,1.0,15.0,22.0,31.0,46.0,176.0,24.162552269513178,11.98752566598474
fico_range_low,2260668,0,610.0,675.0,690.0,715.0,765.0,845.0,698.5882049022679,33.01036915088204
fico_range_high,2260668,0,614.0,679.0,694.0,719.0,769.0,850.0,702.5883999773519,33.01123731551176
